questionExternalId,sourceLanguage,targetLanguage,questionTextSource,explanationSource,answerASource,answerBSource,answerCSource,answerDSource,questionTextTarget,explanationTarget,answerATarget,answerBTarget,answerCTarget,answerDTarget
1.1.04-111,en,ru,What should you do in this kind of visibility?,"In poor visibility conditions, you must first reduce your speed. If you are blinded by an oncoming vehicle, you should look to the right-hand side of the road so that you do not leave the road. You must not switch on your high beams here.",I reduce my speed,I keep towards the right-hand edge of the carriageway,I switch on my main beam lights,,Что следует делать при такой видимости?,"При плохой видимости прежде всего необходимо снизить скорость. Если Вас ослепляет встречный автомобиль, смотрите на правый край дороги, чтобы не съехать с проезжей части. Дальний свет здесь включать нельзя.",Я снижаю скорость,Я держусь правого края проезжей части,Я включаю дальний свет фар,
1.1.05-001,en,ru,Where does driving fast often lead to accidents?,"Excessive speed is one of the main causes of accidents. The faster you drive, the longer your braking distance and the less time you have to react to other road users. At too high a speed, you can be carried out of the bend by centrifugal force. On slippery and wet roads, you lose traction and control of the car at high speed.",At crossroads and junctions,At pedestrian crossings,On bends,,Где быстрая езда часто приводит к авариям?,"Превышенная скорость — одна из основных причин ДТП. Чем быстрее Вы едете, тем длиннее тормозной путь и тем меньше времени остаётся на реакцию. На слишком высокой скорости центробежная сила может вынести автомобиль из поворота. На скользкой и мокрой дороге при высокой скорости теряется сцепление и контроль над автомобилем.",На перекрёстках и примыканиях,На пешеходных переходах,В поворотах,
1.1.05-002,en,ru,Where is fast driving particularly dangerous?,"In blind bends, fast driving is particularly dangerous because suddenly appearing obstacles are seen too late. High speed can also be dangerous at road narrowings, as there is not always enough braking distance available. Also, do not underestimate the risk of skidding due to uneven road surfaces at level crossings.",At blind corners,At road narrowings,At level crossings,,Где быстрая езда особенно опасна?,"В непросматриваемых поворотах высокая скорость особенно опасна, потому что внезапные препятствия замечаются слишком поздно. На сужениях дороги также может не хватить тормозного пути. На железнодорожных переездах не недооценивайте риск заноса из-за неровного покрытия.",В непросматриваемых поворотах,В местах сужения дороги,На железнодорожных переездах,
1.1.05-003,en,ru,How do you take tight bends?,"You should reduce your speed before entering a tight bend and only accelerate again when entering the straight, if visibility permits. Be aware that abrupt braking in a bend can cause your vehicle to skid.",Reduce speed before reaching the bend,Only accelerate again when the road straightens out,Reduce speed only when you reach the centre of the bend,,Как следует проходить крутые повороты?,"Перед въездом в крутой поворот нужно снизить скорость и снова ускоряться только при выходе на прямой участок, если обзор это позволяет. Помните, что резкое торможение в повороте может привести к заносу автомобиля.",Снизить скорость до въезда в поворот,Снова ускоряться только после выезда на прямой участок,Снижать скорость только в середине поворота,
1.1.05-103,en,ru,What must you be aware of?,You may only pass a bus at a bus stop with its hazard lights on at walking speed and with increased attention. Passengers may step out into the road in front of the bus or rush to catch it. They often do not pay attention to the traffic.,Pedestrians could cross the road,I may drive past the bus at walking speed,I may not drive past the bus,,Что необходимо учитывать?,Мимо автобуса на остановке с включённой аварийной сигнализацией можно проезжать только со скоростью пешехода и с повышенным вниманием. Пассажиры могут выйти на проезжую часть перед автобусом или спешить к нему. Часто они не обращают внимания на движение.,Пешеходы могут переходить дорогу,Я могу проехать мимо автобуса со скоростью пешехода,Мне нельзя проезжать мимо автобуса,
1.1.05-105,en,ru,What do you have to be aware of in this situation?,"If a bus stops at a bus stop, you must always approach carefully. You have to stop behind the bus and you are only allowed to go past it at walking pace when you are sure you're not endangering anyone. The set hazard warning lights show: The stop is dangerous. This way, school buses warn from children who are getting off. They could suddenly come out in front of the bus and cross the lane or run to the bus to catch it.",I look out for people who could walk onto the road,I may only pass the bus at walking speed,I may not drive past the bus,,Что необходимо учитывать в этой ситуации?,"Если автобус остановился на остановке, всегда нужно приближаться осторожно. Следует остановиться за автобусом и проезжать мимо него только со скоростью пешехода, когда Вы уверены, что никого не подвергаете опасности. Включённая аварийная сигнализация показывает, что остановка опасна. Так школьные автобусы предупреждают о детях, которые выходят. Они могут внезапно выйти перед автобусом и пересечь полосу или побежать к автобусу.","Я слежу за людьми, которые могут выйти на дорогу",Я могу проезжать мимо автобуса только со скоростью пешехода,Мне нельзя проезжать мимо автобуса,
1.1.05-107-M,en,ru,What must you be aware of here?,"They are crossing a residential area. The road is wide and tempts them to drive fast. But be careful: playing children can suddenly jump onto the road. If you drive too fast, you will not be able to react and brake in time. You may also overlook crossroads or junctions. In residential areas, ""right before left"" often applies: you must give way to vehicles coming from the right.",Of vehicles speeding,That junctions will not be noticed,That children may run onto the road,,Что необходимо учитывать здесь?,"Вы движетесь через жилой район. Широкая дорога провоцирует на быструю езду. Но осторожно: играющие дети могут внезапно выбежать на дорогу. При слишком высокой скорости Вы не сможете вовремя среагировать и затормозить. Также можно не заметить перекрёстки и примыкания. В жилых зонах часто действует правило «помеха справа»: Вы должны уступить транспортным средствам, приближающимся справа.",Транспортные средства могут ехать слишком быстро,Примыкания дорог могут быть не замечены,Дети могут выбежать на дорогу,
1.1.06-002,en,ru,Is it irresponsible to overtake a truck and trailer a short distance before a crossroads?,Under no circumstances should you start an overtaking manoeuvre just before a crossing. There is an increased risk of accidents. This applies especially to overtaking trucks. You may not be able to see cross-traffic or traffic signs.,"Yes, because the truck and trailer can obscure the view of important traffic signs","Yes, because the truck and trailer can obscure the view of the crossing traffic","No, because trucks and trailers mostly drive at low speed",,Безответственно ли обгонять грузовой автомобиль с прицепом незадолго до перекрёстка?,Ни в коем случае не начинайте обгон непосредственно перед перекрёстком. Риск ДТП повышен. Особенно это касается обгона грузовых автомобилей. Вы можете не увидеть поперечное движение или дорожные знаки.,"Да, потому что грузовик с прицепом может закрывать обзор важных дорожных знаков","Да, потому что грузовик с прицепом может закрывать обзор поперечного движения","Нет, потому что грузовики с прицепами обычно едут медленно",
1.1.06-005-M,en,ru,Why are you not allowed to overtake now?,You are not allowed to overtake because the cyclist could turn and the oncoming traffic is not detected in time.,Because [the cyclist] could turn off to the left,Because I am not able to see possible oncoming traffic in good enough time,Because of the very poor condition of the left-side road surface,,Почему сейчас нельзя обгонять?,"Вам нельзя обгонять, потому что велосипедист может повернуть, а встречный транспорт может быть замечен слишком поздно.",Потому что [велосипедист] может повернуть налево,Потому что я не смогу вовремя увидеть возможный встречный транспорт,Из-за очень плохого состояния левого края дорожного покрытия,
1.1.06-103,en,ru,What mistakes make overtaking dangerous even on clear and straight roads?,"Overtaking maneuvers are dangerous even on straight and open roads. This is especially true if oncoming traffic approaches you. The speed of oncoming vehicles is difficult to assess. Often the duration of the overtaking maneuver is underestimated. If you take too long, dangerous situations for you and for others can arise. Before you start overtaking another vehicle, make sure that the opposite lane is clear and you can finish the overtaking maneuver quickly. Otherwise you wait.",The distance of an oncoming vehicle is overestimated,You underestimate your overtaking distance,You overestimate your overtaking distance,,Какие ошибки делают обгон опасным даже на прямых дорогах с хорошим обзором?,"Обгон опасен даже на прямых и открытых дорогах, особенно если приближается встречный транспорт. Скорость встречных транспортных средств трудно оценить. Часто длительность обгона недооценивается. Если обгон занимает слишком много времени, возникают опасные ситуации для Вас и других. Перед обгоном убедитесь, что встречная полоса свободна и Вы сможете быстро завершить манёвр. В противном случае нужно ждать.",Расстояние до встречного транспортного средства переоценивается,Вы недооцениваете необходимую дистанцию обгона,Вы переоцениваете необходимую дистанцию обгона,
