questionExternalId,sourceLanguage,targetLanguage,questionTextSource,explanationSource,answerASource,answerBSource,answerCSource,answerDSource,questionTextTarget,explanationTarget,answerATarget,answerBTarget,answerCTarget,answerDTarget
2.2.32-204,en,tr,What do you have to do when exiting a construction site in your vehicle?,When leaving a construction site you should ensure that no charge can fall down and clean the tires and lighting equipment. Also remove jammed stones between the dual tires. All three answers are correct.,- clean the tyres and the lighting systems,- remove any stones jammed into between twin tyres,- ensure that none of the load can fall off,,Aracınızla şantiyeden çıkarken ne yapmalısınız?,"Şantiyeden çıkarken yükün düşemeyeceğinden emin olmalı, lastikleri ve aydınlatma sistemlerini temizlemeli ve çift lastikler arasında sıkışmış taşları çıkarmalısınız.",- lastikleri ve aydınlatma sistemlerini temizlemek,- çift lastikler arasına sıkışmış taşları çıkarmak,- yükün hiçbir parçasının düşemeyeceğinden emin olmak,
2.2.32-205,en,tr,How should you behave when you leave a construction site with your vehicle?,"When leaving a construction site, it is important to clean the lighting equipment to ensure that you are clearly visible to other road users and that road safety is not compromised. Removing stones trapped between the twin tires prevents them from being thrown out while driving, causing damage to other vehicles or causing accidents. In addition, loaded bulk material must be adequately covered to prevent material from falling onto the road while driving and thus posing a danger to following traffic. These measures serve to protect all road users and help prevent pollution and hazards in road traffic.",- clean the lighting equipment,- remove stones stuck between the twin tyres,- ensure that loaded bulk material is adequately covered,,Aracınızla şantiyeden ayrılırken nasıl davranmalısınız?,"Şantiyeden ayrılırken aydınlatma sistemlerini temizlemeli, çift lastikler arasına sıkışmış taşları çıkarmalı ve yüklü dökme malzemenin yeterince örtülü olduğundan emin olmalısınız.",- aydınlatma sistemlerini temizlemek,- çift lastikler arasına sıkışmış taşları çıkarmak,- yüklü dökme malzemenin yeterince örtülü olmasını sağlamak,
2.2.32-401,en,tr,What must you do to avoid soiling the roadway?,Coming soon...,Remove loose earth from the tyres before leaving the field,Clean working equipment before leaving the field,"When it rains, only use truck tractors with twin tyres",,Yolu kirletmemek için ne yapmalısınız?,Tarladan ayrılmadan önce lastiklerdeki gevşek toprağı temizlemeli ve çalışma ekipmanlarını temizlemelisiniz. Yağmurda sadece çift lastikli çekici kullanmak yeterli önlem değildir.,Tarladan ayrılmadan önce lastiklerdeki gevşek toprağı temizlemek,Tarladan ayrılmadan önce çalışma ekipmanlarını temizlemek,Yağmur yağdığında sadece çift lastikli çekiciler kullanmak,
2.2.32-402,en,tr,"When driving your agricultural vehicle, you could not avoid soiling the roadway. What must you do?",Coming soon...,Take immediate measures to clean up the soiled area,Adequately mark the dangerous spot until the soilage is removed,Secure the dangerous spot by a warning triangle until the rain has washed the dirt away,,Tarım aracınızla giderken yolu kirletmeyi önleyemediniz. Ne yapmalısınız?,Kirlenen yerin temizlenmesi için hemen önlem almalı ve kir giderilene kadar tehlikeli yeri yeterince işaretlemelisiniz. Yağmurun kiri yıkamasını beklemek doğru değildir.,Kirlenen alanı temizlemek için hemen önlem almak,Kir giderilene kadar tehlikeli yeri yeterince işaretlemek,Yağmur kiri yıkayana kadar tehlikeli yeri uyarı üçgeniyle güvenceye almak,
2.2.32-403,en,tr,You have dirtied the public highway with your agricultural vehicle. This is endangering or impeding traffic. What do you have to do?,Clean up the area and mark it visibly to eliminate a hazard.,- remove such dirt without delay,- adequately indicate the dirty area until the dirt can be removed,- always notifiy the office of public order of such soiling,,Tarım aracınızla kamu yolunu kirlettiniz. Bu durum trafiği tehlikeye atıyor veya engelliyor. Ne yapmalısınız?,Kirleri gecikmeden temizlemeli ve temizlenene kadar kirli alanı yeterince işaretlemelisiniz. Her durumda kamu düzeni dairesine bildirmek zorunlu değildir.,- bu kirleri gecikmeden temizlemek,- kir giderilene kadar kirli alanı yeterince işaretlemek,- bu tür kirlenmeyi her zaman kamu düzeni dairesine bildirmek,
2.2.34-001-M,en,tr,What is the right course of action in this situation?,"It can be seen that the accident scene has already been adequately secured. For this reason, you should not brake sharply as this is unnecessary in this situation. A strong deceleration would only increase the risk of further accidents (especially rear-end collisions), since subsequent motorists do not expect a braking maneuver. While driving, photographing the accident is prohibited.",I continue driving as before,I brake hard immediately,I take a photograph of the scene of the accident,,Bu durumda doğru davranış nedir?,Kaza yeri zaten yeterince güvenceye alınmış görünüyor. Bu nedenle sert fren yapmamalı ve kaza yerinin fotoğrafını çekmemelisiniz. Sürüşe önceki gibi devam edebilirsiniz.,Önceki gibi sürmeye devam ederim,Hemen sert fren yaparım,Kaza yerinin fotoğrafını çekerim,
2.2.34-002-M,en,tr,What is the right course of action now?,"On the right lane there was an accident and you drive towards the still unsecured accident site. Since the situation is not completely clear to you, you must reduce your speed. Drive as far to the left as possible to keep enough distance to the right-hand vehicles.",I reduce my speed,I continue driving as far to the left as possible,I continue driving as before,,Şimdi doğru davranış nedir?,Sağ şeritte kaza var ve henüz tamamen güvenceye alınmamış kaza yerine yaklaşıyorsunuz. Hızınızı azaltmalı ve mümkün olduğunca soldan gitmelisiniz.,Hızımı azaltırım,Mümkün olduğunca soldan sürmeye devam ederim,Önceki gibi sürmeye devam ederim,
2.2.34-003-M,en,tr,What is the right course of action now?,"In the event of an accident, you should always play it safe and increase the safe distance as well as reduce your speed in case someone runs into the lane.",I reduce my speed further,I drive as far to the left as possible,I continue driving just as before,,Şimdi doğru davranış nedir?,Kaza durumunda güvenlik için hızınızı daha da azaltmalı ve mümkün olduğunca soldan gitmelisiniz. Aynı şekilde devam etmek doğru değildir.,Hızımı daha da azaltırım,Mümkün olduğunca soldan giderim,Aynen önceki gibi sürmeye devam ederim,
2.2.34-101,en,tr,Your vehicle has collided with a wild animal. What is the right course of action here?,"After a deer accident, you should switch on the hazard warning lights, put on a high-visibility waistcoat and set up a warning triangle to secure the accident site. You should notify the police, describe your accident and give your exact location.",I secure the scene of the accident,I notify the police,I load the animal into my vehicle,,Aracınız vahşi bir hayvanla çarpıştı. Burada doğru davranış nedir?,Kaza yerini güvenceye almalı ve polisi bilgilendirmelisiniz. Hayvanı aracınıza yüklememelisiniz.,Kaza yerini güvenceye alırım,Polise haber veririm,Hayvanı aracıma yüklerim,
2.2.34-102,en,tr,Why should you always carry the European accident report form with you on your journey?,"The European Accident Report should be carried at all times, because it makes it easier to record accidents with people involved in the accident who speak other languages, and it enables the accident to be recorded independently.",- makes it easier to document the accident with foreign-speaking parties involved in the accident,- enables the parties involved to independently document the accident,- unambiguously clarifies the issue of liability at the scene of the accident,,Avrupa kaza raporu formunu yolculukta neden her zaman yanınızda taşımalısınız?,"Avrupa kaza raporu, yabancı dil konuşan kaza taraflarıyla kazanın belgelenmesini kolaylaştırır ve tarafların kazayı bağımsız olarak kaydetmesini sağlar. Sorumluluk konusunu olay yerinde kesin olarak açıklamaz.",- kazaya karışan yabancı dil konuşan kişilerle kazanın belgelenmesini kolaylaştırır,- tarafların kazayı bağımsız olarak belgelemesini sağlar,- olay yerinde sorumluluk konusunu açıkça çözer,
2.2.34-103,en,tr,How does an eCall system work in the event of a serious accident?,"In the event of severe car accidents, for which, for example, airbags trigger, the ECALL system automatically sets a 112 emergency call. He transmits the accident clock time and the exact location.
Alternatively, vehicle occupants can also trigger an SOS signal manually-for example with a heart attack by the passenger.",- the position of the motor vehicle,- the time of the accident,- the severity of the injuries of the persons in the motor vehicle,,Ciddi bir kazada eCall sistemi nasıl çalışır?,eCall sistemi ciddi kazalarda otomatik olarak 112 acil çağrısı başlatır ve aracın konumunu ve kaza zamanını iletir. Yaralanmaların ağırlığını güvenilir şekilde iletmez.,- motorlu aracın konumu,- kaza zamanı,- araçtaki kişilerin yaralanmalarının ağırlığı,
2.2.34-104,en,tr,In what situation is the eCall system designed to be triggered manually?,"The emergency call system can also be triggered manually in the event of an urgent medical problem, e.g. with a heart attack of the moving, passing or as a helping, in a serious accident.",If I am witness to a serious accident,If a passenger suffers a medical emergency,If my vehicle sustains a puncture,,eCall sistemi hangi durumda manuel olarak tetiklenmek üzere tasarlanmıştır?,Ciddi bir kazaya tanık olduğunuzda veya bir yolcu tıbbi acil durum geçirdiğinde eCall manuel olarak tetiklenebilir. Lastik patlaması bunun için uygun sebep değildir.,Ciddi bir kazaya tanık olursam,Bir yolcu tıbbi acil durum geçirirse,Aracımın lastiği patlarsa,
2.2.34-201,en,tr,You have an accident on the autobahn with your truck. In which order do you proceed?,"In an accident with your truck on a highway, you should immediately stop, secure traffic and make out about the accident and potential injuries to help.","Stop immediately, ensure traffic safety, check the effects of the accident and help any injured persons","Stop immediately, find witnesses, ensure traffic safety and help injured persons","Stop, call the police, switch on your hazard warning lights and wait",,Kamyonunuzla otoyolda kaza yaptınız. Hangi sırayla hareket etmelisiniz?,"Önce hemen durmalı, trafik güvenliğini sağlamalı, kazanın sonuçlarını kontrol etmeli ve yaralılara yardım etmelisiniz.","Hemen durmak, trafik güvenliğini sağlamak, kazanın etkilerini kontrol etmek ve yaralılara yardım etmek","Hemen durmak, tanık aramak, trafik güvenliğini sağlamak ve yaralılara yardım etmek","Durmak, polisi aramak, dörtlü ikaz ışıklarını yakmak ve beklemek",
2.2.34-203,en,tr,"While you are travelling on the autobahn, your passengers tell you there is smoke in the bus. What must you do?",Coming soon...,Stop immediately on the hard shoulder and secure the vehicle at a sufficient distance,Direct your passengers to a location at a safe distance away from the bus and autobahn,Drive on to the next petrol station to get help,,Otoyolda giderken yolcularınız otobüste duman olduğunu söylüyor. Ne yapmalısınız?,"Hemen emniyet şeridinde durmalı, aracı yeterli mesafeden güvenceye almalı ve yolcuları otobüsten ve otoyoldan güvenli uzaklıktaki bir yere yönlendirmelisiniz. Bir sonraki benzin istasyonuna kadar devam etmemelisiniz.",Hemen emniyet şeridinde durmak ve aracı yeterli mesafeden güvenceye almak,Yolcuları otobüsten ve otoyoldan güvenli uzaklıktaki bir yere yönlendirmek,Yardım almak için bir sonraki benzin istasyonuna kadar devam etmek,
2.2.34-204,en,tr,Your bus overturns in an accident and you cannot open the doors. What must you do?,Coming soon...,Tell the passengers to leave the bus through the emergency windows and emergency doors and to remain calm,Ask uninjured passengers to help bring injured and frail persons and children out of the bus safely,First wait for help,,Otobüsünüz bir kazada devrildi ve kapıları açamıyorsunuz. Ne yapmalısınız?,"Yolculara acil çıkış pencereleri ve acil kapılardan çıkmalarını ve sakin kalmalarını söylemelisiniz. Yaralı, güçsüz kişiler ve çocukların güvenli çıkarılması için yaralanmamış yolculardan yardım istemelisiniz.",Yolculara otobüsü acil pencereler ve acil kapılardan terk etmelerini ve sakin kalmalarını söylemek,"Yaralanmamış yolculardan, yaralı ve güçsüz kişileri ve çocukları güvenli şekilde otobüsten çıkarmaya yardım etmelerini istemek",Önce yardım beklemek,
2.2.34-205,en,tr,You are involved in a pile-up accident on the autobahn in fog. Your bus is wedged in by other vehicles. What must you do?,Coming soon...,Take injured persons and passengers to a place at a safe distance from the bus and autobahn and give first aid,"Once you have evacuated the passengers to safety, return to the scene of the accident","First, look for witnesses at the scene of the accident",,Siste otoyolda zincirleme kazaya karıştınız. Otobüsünüz başka araçlar arasında sıkıştı. Ne yapmalısınız?,Yaralıları ve yolcuları otobüsten ve otoyoldan güvenli uzaklıktaki bir yere götürmeli ve ilk yardım yapmalısınız. Yolcular güvene alındıktan sonra kaza yerine gereksiz yere dönmemeli ve önce tanık aramamalısınız.,Yaralıları ve yolcuları otobüsten ve otoyoldan güvenli uzaklıktaki bir yere götürmek ve ilk yardım yapmak,Yolcuları güvenli yere tahliye ettikten sonra kaza yerine geri dönmek,Önce kaza yerinde tanık aramak,
2.2.34-206,en,tr,You break down and have to stop on the right hand hard shoulder of an autobahn. What must you do?,Coming soon...,Switch on your hazard warning lights and place warning signs (safety devices) at a sufficient distance behind the vehicle,Ensure that your passengers remain at a safe distance away from the bus and autobahn,Call for help unless you can repair the vehicle yourself,,Arıza yaptınız ve otoyolun sağ emniyet şeridinde durmak zorundasınız. Ne yapmalısınız?,"Dörtlü ikaz ışıklarını yakmalı, aracın arkasına yeterli mesafede uyarı işaretleri koymalı, yolcuların otobüsten ve otoyoldan güvenli uzaklıkta kalmasını sağlamalı ve aracı kendiniz onaramıyorsanız yardım çağırmalısınız.",Dörtlü ikaz ışıklarını yakmak ve aracın arkasına yeterli mesafede uyarı işaretleri/güvenlik tertibatı koymak,Yolcuların otobüsten ve otoyoldan güvenli uzaklıkta kalmasını sağlamak,Aracı kendim onaramıyorsam yardım çağırmak,
2.2.34-207,en,tr,Who is a party involved in an accident?,A participant in a traffic accident can be a person whose conduct has contributed to the selfsame and a person who caused the accident.,A person whose conduct may have contributed to the accident,A person who has caused the accident,A person who is a witness to what happened,,Kim kazaya karışan kişi sayılır?,Davranışı kazaya katkıda bulunmuş olabilecek kişi ve kazaya sebep olan kişi kazaya karışan kişi sayılır. Sadece olaya tanık olan kişi bu nedenle kazaya karışmış sayılmaz.,Davranışı kazaya katkıda bulunmuş olabilecek kişi,Kazaya sebep olan kişi,Olanlara tanık olan kişi,
2.2.34-208,en,tr,Does the person involved in an accident have to move his/her vehicle to the side?,A participant in the accident should drive his vehicle aside if only minor damage. So that traffic can continue to flow.,"Yes, in the case of minor damage","Yes, in any case","No, never",,Kazaya karışan kişi aracını kenara çekmek zorunda mı?,Sadece küçük hasar varsa araç kenara çekilmelidir. Her durumda veya hiçbir zaman gibi mutlak cevaplar doğru değildir.,"Evet, küçük hasar durumunda","Evet, her durumda","Hayır, asla",
2.2.34-210,en,tr,"You are involved in a traffic accident. To ensure that passengers are not endangered, they must leave the bus. However, it is no longer possible to open the doors of your bus. What must you do now?","If you are involved in a traffic accident and the doors do not open, you should first calm down the passengers.
Ask the passengers to leave the vehicle via the designated emergency outputs and ask the passengers to help each other.",- calm the passengers,- request that the passengers use the emergency exits in the event of an emergency,- request the passengers to assist one another,,Bir trafik kazasına karıştınız. Yolcuların tehlikeye girmemesi için otobüsü terk etmeleri gerekiyor. Ancak kapılar artık açılamıyor. Şimdi ne yapmalısınız?,"Yolcuları sakinleştirmeli, acil durumda acil çıkışları kullanmalarını istemeli ve yolcuların birbirine yardım etmesini talep etmelisiniz.",- yolcuları sakinleştirmek,- acil durumda yolculardan acil çıkışları kullanmalarını istemek,- yolculardan birbirlerine yardım etmelerini istemek,
2.2.34-211,en,tr,While driving your bus on the motorway you become involved in a road traffic accident. The passengers need to disembark from the bus. What is the right course of action?,"The first thing you should do is reassure the passengers and inform them of the situation. Then give the passengers clear instructions, ask them to leave the vehicle via the designated emergency exits and ask them to help each other.",I inform the passengers about the situation,I have to issue clear instructions about how to leave the bus safely,I have to remove my driver card from the tachograph,,Otoyolda otobüsünüzle giderken trafik kazasına karıştınız. Yolcuların otobüsten inmesi gerekiyor. Doğru davranış nedir?,Önce yolcuları durum hakkında bilgilendirmeli ve otobüsü güvenli şekilde nasıl terk edeceklerine dair açık talimatlar vermelisiniz. Sürücü kartını takograftan çıkarmak bu anda öncelik değildir.,Yolcuları durum hakkında bilgilendiririm,Otobüsü güvenli şekilde nasıl terk edeceklerine dair açık talimatlar vermeliyim,Sürücü kartımı takograftan çıkarmalıyım,
2.2.37-001-B,en,tr,What do these signals indicate?,"These permanent lights can either enable or disable the lanes, depending on the traffic. They always relate directly to the lane over which they are mounted. A green sign indicates that you are allowed to drive on the lane, a red cross blocks it, a yellow sign with arrow means for you: lane change.",The two lanes on the right are open to traffic,You may not use the two lanes on the left,You may use the two lanes on the left for overtaking only,,Bu sinyaller neyi gösteriyor?,"Sürekli ışıklı işaretler üzerlerinde bulundukları şerit için geçerlidir. Yeşil ok şeridin açık olduğunu, kırmızı çarpı şeridin kullanılamayacağını gösterir.",Sağdaki iki şerit trafiğe açıktır,Soldaki iki şeridi kullanamazsınız,Soldaki iki şeridi sadece sollama için kullanabilirsiniz,
2.2.37-002,en,tr,"You are travelling at a speed of approximately 40 km/h. The lights change from ""green"" to ""amber"" when you are 10 m away. What do you do?","At 40 km/h, the braking distance according to the rule of thumb is 28 meters. Even with emergency braking, a car driver can barely come to a halt 10 meters in front of a traffic light. To prevent a possible rear-end collision, you should therefore continue driving.",Proceed,Stop,,,Yaklaşık 40 km/saat hızla gidiyorsunuz. Trafik ışığı siz 10 m uzaktayken yeşilden sarıya dönüyor. Ne yaparsınız?,40 km/saat hızda güvenli durma mesafesi 10 metreden uzundur. Ani fren arkadan çarpma riski yaratabilir. Bu nedenle devam etmelisiniz.,Devam ederim,Dururum,,
2.2.37-003,en,tr,"You are travelling at a speed of approximately 40 km/h. The lights change from ""green"" to ""amber"" when you are 40 m away. What do you do?","According to the rule of thumb, at a speed of 40 km/h your car comes to a stand after 28 meters. The only correct reaction is to stop.",Stop,Proceed,,,Yaklaşık 40 km/saat hızla gidiyorsunuz. Trafik ışığı siz 40 m uzaktayken yeşilden sarıya dönüyor. Ne yaparsınız?,40 m mesafe bu hızda normal şekilde durmak için yeterlidir. Bu nedenle durmalısınız.,Dururum,Devam ederim,,
2.2.37-004,en,tr,"You are approaching a traffic light which has been ""green"" for some time. What do you do?","Since the traffic light has been green for a while, it can switch at any moment. Continue at the same speed, watching the traffic light carefully and be ready to stop. Once you have reached your decision point - distance to the traffic light, from which a normal stop is no longer possible - drive on, even if the traffic light switches.",Watch the traffic light closely,Approach but be ready to stop,Accelerate even though the speed limit is exceeded,,Bir süredir yeşil yanan trafik ışığına yaklaşıyorsunuz. Ne yaparsınız?,Trafik ışığı her an değişebilir. Işığı dikkatle izlemeli ve durmaya hazır şekilde yaklaşmalısınız. Hız sınırını aşarak hızlanmamalısınız.,Trafik ışığını dikkatle izlerim,Yaklaşırım ancak durmaya hazır olurum,Hız sınırı aşılmış olsa bile hızlanırım,
2.2.37-006,en,tr,The traffic light has just changed to yellow. What is the right course of action if you are turning left?,"The yellow traffic light indicates that you have to wait before the crossing. Since your distance to the stop line is far enough in this situation, you can safely stop.",- stop,- turn,,,Trafik ışığı az önce sarıya döndü. Sola dönecekseniz doğru davranış nedir?,Sarı ışık kavşaktan önce beklemeniz gerektiğini gösterir. Bu durumda duracak kadar mesafeniz olduğu için durmalısınız.,- durmak,- dönmek,,
2.2.37-007,en,tr,What is true of permanently illuminated signs?,"If there are crossed red diagonal beams, drivers on the lane must neither drive nor hold in front of them. A green arrow looking down means: You can drive on the lane. A yellow blinking, obliquely downward looking arrow, you must change the lane in the direction of the arrow.",Permanently illuminated signs either block lanes or open them up to traffic,Vehicles may not stop at the side of carriageways with permanently illuminated signs,Permanently illuminated signs apply to multi-track motor vehicles only,,Sürekli ışıklı işaretler için hangisi doğrudur?,Sürekli ışıklı işaretler şeritleri kapatabilir veya trafiğe açabilir. Sadece çok izli motorlu araçlar için geçerli değildir.,Sürekli ışıklı işaretler şeritleri kapatır veya trafiğe açar,Sürekli ışıklı işaret bulunan taşıt yollarının kenarında araçlar duramaz,Sürekli ışıklı işaretler sadece çok izli motorlu araçlar için geçerlidir,
