questionExternalId,sourceLanguage,targetLanguage,questionTextSource,explanationSource,answerASource,answerBSource,answerCSource,answerDSource,questionTextTarget,explanationTarget,answerATarget,answerBTarget,answerCTarget,answerDTarget
1.2.09-017,en,ru,Two vehicles approach one another at an intersection. Both vehicles want to turn left. In what exceptional case do they have to turn one after the other?,"Always turn in front of each other. If the traffic situation or the design of the intersection, e.g. lane markings, requires it, you must turn one behind the other.",If the road traffic situation demands it,If the layout of the intersection demands it,If the vehicles are crossing over an equal priority intersection,,,,,,,
1.2.09-018,en,ru,Two vehicles approach one another at an intersection. Both vehicles want to turn left. What must both drivers do in the normal case?,"If two left-turning vehicles come towards each other, they turn in front of each other (tangentially).",- turn in front of one another,- turn behind one another,- communicate with one another to agree the mode of turning,,,,,,,
1.2.09-019-M,en,ru,You want to turn left. What driving line should you maintain?,Use the right-hand driving line. The left-hand driving line is intended for oncoming traffic.,The right driving line,The left driving line,Both driving lines are possible,,,,,,,
1.2.09-020-M,en,ru,To which road user must you give way here?,"When turning, you must give priority to oncoming traffic and cross traffic - in this case cyclists and pedestrians.
Although your traffic lights are green, you must wait until the pedestrian has crossed the road. Pedestrians have priority over turning vehicles.",[The pedestrian],[The cyclist],The bus,,,,,,,
1.2.09-021-M,en,ru,You want to leave the roundabout at this exit. What is the right thing to do?,"When leaving the roundabout, crossing walkers and cyclists have priority.
You must therefore allow cyclists and walkers to cross the carriageway.",I must allow [the pedestrian] to cross the road,I must allow [the cyclist] to cross the road,I have priority over the road users crossing the road,,,,,,,
1.2.09-022-M,en,ru,You want to turn right here. What is correct?,You must let both pedestrians cross the road. They do not change their direction of movement and therefore have priority over you.,I have to let both [pedestrians] cross the road,I only have to let [the oncoming pedestrian] cross the road,I have right of way over both [pedestrians],,,,,,,
1.2.09-101,en,ru,What can give rise to particularly dangerous situations where several lanes turn off?,Drive at moderate speed into multi-lane turns. At too fast a pace you could get out of your lane and get into the lane of parallel driving vehicles. Avoid a lane change within this turning situation. There is a risk that a vehicle is directly behind you in your blind spot.,Driving too fast,Changing lanes while performing the turn,Keeping exactly to your lane,,,,,,,
1.2.09-103-B,en,ru,All three vehicles want to turn left. Which is in the correct lane?,"Only the yellow car merged into the lane correctly. He passed right, as it says on the road sign on the safety island, in order to then get in proper lane as left as possible to prepare his turn to the left. The green car is completely wrong on the rails; In this situation, the truck may only drive straight ahead or turn right.",The yellow car,The truck,The green car,,,,,,,
1.2.09-104-B,en,ru,"After turning left, you want to turn immediately right. How should you position your vehicle?","If you want to turn right again immediately after turning left, you get in proper lane on the right, if there are two lanes for turning left. Otherwise, keep as far to the right as possible. This is the only way you can turn right after a left turn without hindering other road users.",- the red car,- the green car,- the blue car,,,,,,,
1.2.09-107-B,en,ru,Who must signal a change of direction here?,"The change of direction must indicate who changes it. This is true regardless of the importance of the road. So, the motorcyclist who follows the course of the turning priority road has to indicate. You continue straight ahead and do not indicate.",The motorcycle,I myself,No one,,,,,,,
