questionExternalId,sourceLanguage,targetLanguage,questionTextSource,explanationSource,answerASource,answerBSource,answerCSource,answerDSource,questionTextTarget,explanationTarget,answerATarget,answerBTarget,answerCTarget,answerDTarget
1.4.41-164,en,tr,What does this traffic sign combination indicate?,"This sign means ""Danger zone"" and the additional sign stands for ""Winter sports allowed"". The combination indicates that winter sportspersons may use the road and road users must pay particular attention to it.",- may be used by winter sports enthusiasts,- may not be used by traffic in winter,- may only be used with snow chains,,,,,,,
1.4.41-165,en,tr,What do you have to be aware of in this traffic situation?,"You must not drive over the lane boundary (solid line) to the left, which is located at the middle of the lane. Driving on it is also prohibited.",- not cross the lane marking,- cross the lane marking in order to overtake,- cross the lane marking if oncoming traffic permits this,,,,,,,
1.4.41-166,en,tr,What must you be aware of on this priority road?,The solid line in the middle between the two lanes prohibits crossing or crossing this line. It also prohibits parking on priority roads outside of built-up areas.,Parking is prohibited,You may not cross the lane marking,Parking is permitted if there is a clear space of at least 3 m between a parked car and the lane marking,,,,,,,
1.4.41-167,en,tr,You want to overtake. What is the right thing to do?,You may overtake if other road users are not endangered. The one-sided lane boundary allows you to cross the two lines from the side where the broken line is located.,- overtake,- not overtake,"- only overtake, if I remain in the right-hand lane while doing so",,,,,,,
1.4.41-168,en,tr,"As a resident, you want to drive into a cycle highway that has this sign. What must you be aware of when doing so?","A maximum speed of 30 km/h applies to traffic. Cycling traffic must not be endangered or obstructed. If necessary, motor vehicle traffic must reduce speed further. Side-by-side cycling is permitted.",Vehicles may not be driven faster than 30 km/h,Cycles may travel alongside one another,Cycle traffic may not be impeded,,,,,,,
1.4.41-169,en,tr,Who may enter a street that has this sign?,Vehicular traffic other than cyclists may not use cycle lanes unless permitted by additional sign. The additional sign allows residents to enter the bicycle lane.,All cyclists,All persons visiting residents,All moped riders,,,,,,,
1.4.41-170,en,tr,This road traffic sign is displayed for your lane. What must you be aware of?,"This traffic sign indicates the prescribed minimum speed. You must therefore drive at least 60 km/h, provided that the road and traffic conditions allow it.","I must drive at a minimum speed of 60 km/h, if permitted by the road and traffic conditions",I may only use this lane if my vehicle can and is allowed to drive at a speed of least 60 km/h,I may not drive faster than 60 km/h,,,,,,,
1.4.41-172,en,tr,What situation applies according to this traffic sign?,The additional sign limits the speed limit between 10 pm and 6 am.,- applies between 10 pm and 6 am,- applies between 6 am and 10 pm,- does not apply to electric vehicles,,,,,,,
1.4.41-173,en,tr,What should you do when you see this road sign?,"The arrow on this traffic sign always shows the direction of travel. If it is a straight arrow, you have to turn in front of the sign. If it is a curved arrow, you must turn according to the sign. 
You have to flash to indicate the change in driving direction.",- indicate left,- turn left before the traffic sign,- turn left behind the traffic sign,,,,,,,
1.4.42-001,en,tr,What does this traffic sign indicate?,"This traffic sign grants you priority in a specific place. Thus, the right of way for the driver is limited and has no general validity.",- only at the next crossroads or junction,- at all crossroads and junctions on this road,- as far as the urban limit,,,,,,,
1.4.42-005,en,tr,What does this traffic sign indicate?,The traffic sign indicates that the motorway starts here. This also gives effect to all the rules that apply to this particular type of road.,The start of an autobahn,The end of an autobahn,The start of a clearway for motor vehicles only,,,,,,,
1.4.42-009-M,en,tr,What do the white markings on the road mean in this situation?,"At intersections and junctions with “right before left” regulation, especially in confusing places, are also used by waiting lines. Wartelinia are often used that look as similar to many small way to go-along.",- highlight a duty to give-way due to the right-before-left rule,- indicate a traffic-calming zone,- are a warning about the poor state of the road surface,,,,,,,
1.4.42-010-M,en,tr,What is the rule created by the road markings in this situation?,"You have to nourish yourself this intersection carefully, as it applies right to the left.
At intersections and junctions with “right before left” regulation, especially in confusing places, are also used by waiting lines. Wartelinia are often used that look as similar to many small way to go-along.",- approach the junction cautiously,- give way to the [red vehicle],- come to a stop in front of the road markings,,,,,,,
1.4.42-101,en,tr,Which traffic sign gives right of way at the next crossroads?,"Only the first traffic sign gives you right of way at the next intersection. The second traffic sign, however, indicates the end of the priority road and traffic sign number three regulates the right of way at a bottleneck.",Traffic sign 1,Traffic sign 2,Traffic sign 3,,,,,,,
1.4.42-102,en,tr,Which traffic sign gives right of way?,The correct traffic sign to observe the right of way is number two. Number one indicates that a dangerous turn is in front of the driver while number three indicates the number of a national highway.,Traffic sign 2,Traffic sign 1,Traffic sign 3,,,,,,,
