questionExternalId,sourceLanguage,targetLanguage,questionTextSource,explanationSource,answerASource,answerBSource,answerCSource,answerDSource,questionTextTarget,explanationTarget,answerATarget,answerBTarget,answerCTarget,answerDTarget
2.7.01-135,en,uz,You are planning a longer journey with a purely electric vehicle. What should you be aware of?,"If you are planning a longer journey with a purely electric vehicle, you should consider that your car has a much lower range compared to conventional vehicles. In addition, the capacity of the batteries is influenced by the outside temperature.",The availability of electric charging stations,The battery charging time,The influence of external ambient temperatures on the range,,,,,,,
2.7.01-136,en,uz,What should you be aware of when charging purely electric vehicles?,"When charging pure electric vehicles, you must be aware that they cannot be recharged at every gas station. Only use the charging cables approved by the manufacturer. Depending on the power connection, the charging time varies.",The charge time depends on the power supply,Charging should only be performed with a charging cable approved by the manufacturer,Charging is available at every filling station,,,,,,,
2.7.01-137,en,uz,How is a purely electric vehicle different from a vehicle with a combustion engine?,Pure electric vehicles are almost noiseless. These vehicles also have no direct exhaust emissions. The aerodynamic drag depends on the volume of the body and not on the type of drive.,- have a lower engine noise,- do not have any direct exhaust emissions,- have a lower aerodynamic drag,,,,,,,
2.7.01-138,en,uz,You are driving a purely electric vehicle in a residential area. What should you be aware of due to your lower engine noise?,"With a pure electric vehicle, you are almost noiseless on the road and you can acoustically be hardly perceived by other road users. Especially cyclists are at risk if they hear no engine noise. Without looking back, they often turn.",Pedestrians will not notice me or will do so later than usual,"Cyclist travelling ahead will turn left, without looking behind them",Vehicles following behind will tailgate me,,,,,,,
2.7.01-139,en,uz,You are driving a motor vehicle fitted with anti-lock braking system (ABS). How do you achieve the shortest possible braking distance?,"If you drive a car with an automatic anti-lock braking system, you achieve the shortest braking distance by braking abruptly and with maximum pedal force. The ABS prevents the wheels from locking during braking.",- suddenly and with maximum force,- carefully and then increasingly harder,- multiple times at quick intervals and with maximum force,,,,,,,
2.7.01-140,en,uz,A lane assist system with corrective steer control can help you when driving. What should you be aware of?,"A prerequisite for a perfect function of the lane departure warning system are good road markings. Keep in mind that technical driving assistants cannot compensate for inability to drive. As a car driver, you must be able to intervene into the driving experience at all times.",- keep the vehicle in lane if the road markings are clear,- not function if the road markings are poor,- compensate for a lack of fitness to drive (e.g. tiredness),,,,,,,
2.7.01-141,en,uz,You are driving at high speed into a bend. What could happen if you had to brake suddenly?,"If you drive fast into a tight curve, you lose road grip when you brake hard and slide out of the curve. (Centrifugal force)",- could lose its grip on the road,- could skid out of the bend,- will constantly maintain its driving stability with the stability control,,,,,,,
2.7.01-142,en,uz,What can result in your motor vehicle skidding while driving round a bend?,"If you turn sharply, your vehicle may start to skid on bends. This can also happen if you drive too fast. Adjust your speed when cornering.",Heavy oversteer,Driving too fast,Gently accelerating at the exit of the bend,,,,,,,
2.7.01-143,en,uz,"The lane keeping assist system warns you with acoustic, haptic or optical signals. What might be the cause of this?","If you drift out of your lane, the lane departure warning system detects this by recognising that you are approaching the lane marking. The permissible total mass must not be exceeded.",My vehicle is getting close to the road markings at the side of the road,My vehicle is undercutting the safety distance to the vehicle ahead,Another vehicle is overtaking me with not enough side clearance,,,,,,,
2.7.01-144,en,uz,In what situation can the lane keep assist system with steering override help you?,"On motorways and country roads, steering intervention by the lane departure warning system can be helpful, as the markings are clearly visible there.
Due to poor markings and narrow lanes in roadworks, steering intervention by the lane departure warning system is not possible as it will most likely not be detected correctly.",- on motorways,- on rural roads,- in constricted roadworks sites with poor road markings,,,,,,,
